i_source,j_destination,dij_distance
1,1,0
1,2,814.27
1,3,264.28
1,4,2677.21
1,5,1457.23
1,6,1464.52
1,7,401.97
1,8,2449.71
1,9,2836.71
1,10,1166.18
1,11,557.07
1,12,2664.87
1,13,307.69
1,14,1702.78
1,15,2833.23
1,16,1396.95
1,17,1396.95
1,18,1724.27
1,19,695.35
1,20,1162.83
1,21,329.73
1,22,2805.82
1,23,85.94
1,24,403.34
1,25,2680.09
1,26,2695.35
1,27,778.8
1,28,816.51
1,29,86.12
1,30,1658.32
1,31,317.29
1,32,1689.72
1,33,2677.84
1,34,1479.31
1,35,2144.83
1,36,996.79
1,37,2833.23
1,38,2777.08
1,39,2678.18
1,40,2188.62
1,41,1384.96
1,42,405.61
1,43,1127.69
1,44,2320.91
1,45,2870.51
1,46,52.38
1,47,225.19
1,48,1413.85
1,49,1413.84
1,50,407.02
2,1,814.27
2,2,0
2,3,659.27
2,4,2370.23
2,5,1004.07
2,6,1013.67
2,7,1043.11
2,8,2461.97
2,9,2666.15
2,10,1396.46
2,11,1363.83
2,12,2650.02
2,13,1060.77
2,14,1687.4
2,15,2880.03
2,16,930.3
2,17,930.3
2,18,1319.3
2,19,946.49
2,20,1396.22
2,21,1123.49
2,22,2524.34
2,23,806.58
2,24,1042.45
2,25,2375.12
2,26,2381.77
2,27,1024.28
2,28,2.6
2,29,847.99
2,30,1375.23
2,31,841.9
2,32,1674.24
2,33,2369.57
2,34,1024.72
2,35,2164.21
2,36,188.97
2,37,2880.03
2,38,2713.53
2,39,2372.54
2,40,2191.35
2,41,1126.97
2,42,1207.28
2,43,315.04
2,44,2009.47
2,45,2699.18
2,46,867.95
2,47,1030.44
2,48,899.26
2,49,912.11
2,50,1049.27
3,1,264.28
3,2,659.27
3,3,0
3,4,2525.96
3,5,1209.01
3,6,1216.37
3,7,414.19
3,8,2343.69
3,9,2710.06
3,10,1071.94
3,11,804.89
3,12,2552.49
3,13,446.42
3,14,1588.32
3,15,2731.94
3,16,1151.21
3,17,1151.21
3,18,1499.42
3,19,605.84
3,20,1069.22
3,21,567.45
3,22,2647.69
3,23,206.96
3,24,414.79
3,25,2529.23
3,26,2536.42
3,27,685.79
3,28,661.19
3,29,223.59
3,30,1496
3,31,195.51
3,32,1574.45
3,33,2526.44
3,34,1231.02
3,35,2040.97
3,36,844.03
3,37,2731.94
3,38,2674.26
3,39,2527.15
3,40,2083.24
3,41,1230.99
3,42,649.83
3,43,978.12
3,44,2168.58
3,45,2755.99
3,46,293.27
3,47,478.28
3,48,1168.93
3,49,1166.45
3,50,421.14
4,1,2677.21
4,2,2370.23
4,3,2525.96
4,4,0
4,5,1372.18
4,6,1362.23
4,7,2524.13
4,8,826.45
4,9,357.88
4,10,1868.51
4,11,3113.73
4,12,459.89
4,13,2781.22
4,14,1002.14
4,15,985.18
4,16,1448.44
4,17,1448.44
4,18,1063.43
4,19,2094.77
4,20,1873.66
4,21,2919.16
4,22,205.59
4,23,2647.49
4,24,2517.09
4,25,8.52
4,26,19.65
4,27,1987.54
4,28,2368.46
4,29,2618.87
4,30,1090.95
4,31,2403.84
4,32,1015.94
4,33,5.82
4,34,1351.61
4,35,668.37
4,36,2490.78
4,37,985.18
4,38,420.86
4,39,5.22
4,40,708.66
4,41,1301.76
4,42,2975.65
4,43,2629.34
4,44,364.68
4,45,385.7
4,46,2696.77
4,47,2843.14
4,48,1533.56
4,49,1473.83
4,50,2525.15
5,1,1457.23
5,2,1004.07
5,3,1209.01
5,4,1372.18
5,5,0
5,6,9.72
5,7,1378.2
5,8,1551.11
5,9,1663.14
5,10,952.78
5,11,1996.54
5,12,1658.78
5,13,1605.76
5,14,782.11
5,15,1970.48
5,16,94.86
5,17,94.86
5,18,321.02
5,19,988.97
5,20,956.27
5,21,1753.56
5,22,1519.39
5,23,1406.22
5,24,1372.51
5,25,1377.32
5,26,1387.64
5,27,928.08
5,28,1002.26
5,29,1432.22
5,30,364.44
5,31,1234.46
5,32,772.25
5,33,1371.4
5,34,24.72
5,35,1219.01
5,36,1122.23
5,37,1970.48
5,38,1713.51
5,39,1374.65
5,40,1273.15
5,41,206.99
5,42,1828.48
5,43,1265.68
5,44,1011.05
5,45,1696.39
5,46,1492.26
5,47,1672.65
5,48,186.64
5,49,103.26
5,50,1381.67
6,1,1464.52
6,2,1013.67
6,3,1216.37
6,4,1362.23
6,5,9.72
6,6,0
6,7,1383.8
6,8,1541.51
6,9,1652.8
6,10,952.37
6,11,2002.72
6,12,1648.18
6,13,1612.26
6,14,773.47
6,15,1960.76
6,16,101.97
6,17,101.97
6,18,311.32
6,19,993.79
6,20,955.89
6,21,1760.31
6,22,1509.04
6,23,1413.21
6,24,1378.09
6,25,1367.36
6,26,1377.72
6,27,931.55
6,28,1011.86
6,29,1439.2
6,30,354.96
6,31,1240.94
6,32,763.7
6,33,1361.44
6,34,17.08
6,35,1209.09
6,36,1132.79
6,37,1960.76
6,38,1703
6,39,1364.69
6,40,1263.09
6,41,202.79
6,42,1835.05
6,43,1275.81
6,44,1000.89
6,45,1686.15
6,46,1499.36
6,47,1679.55
6,48,200.92
6,49,115
6,50,1387.24
7,1,401.97
7,2,1043.11
7,3,414.19
7,4,2524.13
7,5,1378.2
7,6,1383.8
7,7,0
7,8,2214.64
7,9,2617.96
7,10,782.26
7,11,653.47
7,12,2431.58
7,13,294.99
7,14,1520.95
7,15,2448.75
7,16,1320.11
7,17,1320.11
7,18,1588.24
7,19,455.37
7,20,778.68
7,21,465.3
7,22,2606.81
7,23,339.75
7,24,7.51
7,25,2526.3
7,26,2532.93
7,27,544.72
7,28,1044.93
7,29,365.78
7,30,1521.34
7,31,219.48
7,32,1508.01
7,33,2525.21
7,34,1398.77
7,35,1914.68
7,36,1229.69
7,37,2448.75
7,38,2546.31
7,39,2524.63
7,40,1956.12
7,41,1251.8
7,42,453.63
7,43,1356.81
7,44,2180.4
7,45,2635.69
7,46,376.74
7,47,408.48
7,48,1355.78
7,49,1334.47
7,50,6.14
8,1,2449.71
8,2,2461.97
8,3,2343.69
8,4,826.45
8,5,1551.11
8,6,1541.51
8,7,2214.64
8,8,0
8,9,601.64
8,10,1418.87
8,11,2752.77
8,12,419.62
8,13,2543.88
8,14,819.23
8,15,419.17
8,16,1593.92
8,17,1593.92
8,18,1252.49
8,19,1792.62
8,20,1423.13
8,21,2631.43
8,22,702.87
8,23,2403.75
8,24,2207.39
8,25,821.33
8,26,835.44
8,27,1675.82
8,28,2460.87
8,29,2391.03
8,30,1214.01
8,31,2131.24
8,32,832.9
8,33,830.6
8,34,1537.85
8,35,333.48
8,36,2619.82
8,37,419.17
8,38,528.79
8,39,822.7
8,40,301.66
8,41,1419.83
8,42,2674.93
8,43,2754.49
8,44,924.82
8,45,631.99
8,46,2453.99
8,47,2560.37
8,48,1741.65
8,49,1663.62
8,50,2213.81
9,1,2836.71
9,2,2666.15
9,3,2710.06
9,4,357.88
9,5,1663.14
9,6,1652.8
9,7,2617.96
9,8,601.64
9,9,0
9,10,1933.61
9,11,3208.17
9,12,188.4
9,13,2882.41
9,14,1126.93
9,15,638.06
9,16,1736.06
9,17,1736.06
9,18,1344.92
9,19,2209.24
9,20,1938.53
9,21,3041.03
9,22,159.43
9,23,2792.48
9,24,2610.75
9,25,350.64
9,26,339.45
9,27,2080.66
9,28,2664.59
9,29,2778.73
9,30,1343
9,31,2533.89
9,32,1142.48
9,33,361.54
9,34,1644.2
9,35,698.76
9,36,2782.67
9,37,638.06
9,38,73.4
9,39,353.44
9,40,730.09
9,41,1565.36
9,42,3056.63
9,43,2929.09
9,44,726.17
9,45,53.78
9,46,2849.34
9,47,2961.57
9,48,1848.82
9,49,1772.79
9,50,2618.07
10,1,1166.18
10,2,1396.46
10,3,1071.94
10,4,1868.51
10,5,952.78
10,6,952.37
10,7,782.26
10,8,1418.87
10,9,1933.61
10,10,0
10,11,1399.27
10,12,1750.89
10,13,1095.39
10,14,866.35
10,15,1668.99
10,16,926.29
10,17,926.29
10,18,1117.11
10,19,520.25
10,20,6.31
10,21,1224.63
10,22,1932.05
10,23,1115.16
10,24,775.69
10,25,1869.54
10,26,1878.99
10,27,388.75
10,28,1396.58
10,29,1106.58
10,30,1006.25
10,31,849.79
10,32,853.75
10,33,1870.32
10,34,963.31
10,35,1229.04
10,36,1549.65
10,37,1668.99
10,38,1867.67
10,39,1868.24
10,40,1280.98
10,41,792.36
10,42,1227.5
10,43,1708.08
10,44,1628.04
10,45,1959.82
10,46,1164.41
10,47,1169.28
10,48,1058.48
10,49,978.3
10,50,781.38
11,1,557.07
11,2,1363.83
11,3,804.89
11,4,3113.73
11,5,1996.54
11,6,2002.72
11,7,653.47
11,8,2752.77
11,9,3208.17
11,10,1399.27
11,11,0
11,12,3021.26
11,13,441.04
11,14,2111.02
11,15,2988.3
11,16,1941.91
11,17,1941.91
11,18,2223.91
11,19,1063.94
11,20,1394.65
11,21,264.51
11,22,3200.28
11,23,586.04
11,24,660.64
11,25,3115.49
11,26,3130.59
11,27,1136.9
11,28,1366.13
11,29,579.77
11,30,2152.57
11,31,811.8
11,32,2098.16
11,33,3115.04
11,34,2018.1
11,35,2501.05
11,36,1545.89
11,37,2988.3
11,38,3141.86
11,39,3113.97
11,40,2551.38
11,41,1884.25
11,42,206.63
11,43,1677.28
11,44,2811.64
11,45,3229.33
11,46,504.89
11,47,347.76
11,48,1962.01
11,49,1959.48
11,50,650.6
12,1,2664.87
12,2,2650.02
12,3,2552.49
12,4,459.89
12,5,1658.78
12,6,1648.18
12,7,2431.58
12,8,419.62
12,9,188.4
12,10,1750.89
12,11,3021.26
12,12,0
12,13,2699.62
12,14,988.68
12,15,553.63
12,16,1722.39
12,17,1722.39
12,18,1342.11
12,19,2024.7
12,20,1755.62
12,21,2855.78
12,22,331.88
12,23,2627.98
12,24,2424.51
12,25,453.16
12,26,479.24
12,27,1897.34
12,28,2648.55
12,29,2605.6
12,30,1330.21
12,31,2350.06
12,32,1003.98
12,33,464.02
12,34,1640.6
12,35,517.35
12,36,2776.82
12,37,553.63
12,38,117.82
12,39,455.46
12,40,549.09
12,41,1555.79
12,42,2877.16
12,43,2923.26
12,44,755.15
12,45,233.97
12,46,2675.15
12,47,2779.86
12,48,1849.35
12,49,1765.72
12,50,2431.45
13,1,307.69
13,2,1060.77
13,3,446.42
13,4,2781.22
13,5,1605.76
13,6,1612.26
13,7,294.99
13,8,2543.88
13,9,2882.41
13,10,1095.39
13,11,441.04
13,12,2699.62
13,13,0
13,14,1788.19
13,15,2757.9
13,16,1547.73
13,17,1547.73
13,18,1826.64
13,19,713.26
13,20,1091.4
13,21,229.33
13,22,2874.38
13,23,282.9
13,24,290.08
13,25,2783.55
13,26,2798.97
13,27,807.36
13,28,1062.96
13,29,205.52
13,30,1758.13
13,31,409.63
13,32,1774.9
13,33,2782.23
13,34,1627.6
13,35,2181.01
13,36,1241.88
13,37,2757.9
13,38,2816.22
13,39,2781.81
13,40,2228.26
13,41,1489.84
13,42,227.84
13,43,1370.15
13,44,2427
13,45,2907.02
13,46,248.92
13,47,134.77
13,48,1585.68
13,49,1564.28
13,50,295.34
14,1,1702.78
14,2,1687.4
14,3,1588.32
14,4,1002.14
14,5,782.11
14,6,773.47
14,7,1520.95
14,8,819.23
14,9,1126.93
14,10,866.35
14,11,2111.02
14,12,988.68
14,13,1788.19
14,14,0
14,15,1237.95
14,16,824.42
14,17,824.42
14,18,545.78
14,19,1085.37
14,20,871.54
14,21,1943.28
14,22,1115.93
14,23,1663.11
14,24,1514.17
14,25,1003.77
14,26,1013.2
14,27,987.06
14,28,1686.2
14,29,1647.8
14,30,451.12
14,31,1425.89
14,32,13.03
14,33,1003.66
14,34,772.24
14,35,496.15
14,36,1841.77
14,37,1237.95
14,38,1110.35
14,39,1002.24
14,40,550.73
14,41,617.41
14,42,1963.5
14,43,1981.23
14,44,778.69
14,45,1185.92
14,46,1716.71
14,47,1862.91
14,48,974.89
14,49,900.32
14,50,1521.64
15,1,2833.23
15,2,2880.03
15,3,2731.94
15,4,985.18
15,5,1970.48
15,6,1960.76
15,7,2448.75
15,8,419.17
15,9,638.06
15,10,1668.99
15,11,2988.3
15,12,553.63
15,13,2757.9
15,14,1237.95
15,15,0
15,16,2012.9
15,17,2012.9
15,18,1671.31
15,19,2193.44
15,20,1672.53
15,21,2888.92
15,22,792.95
15,23,2781.05
15,24,2441.9
15,25,978.25
15,26,961.69
15,27,2050.48
15,28,2879
15,29,2772.42
15,30,1636.19
15,31,2510.43
15,32,1251.2
15,33,989.39
15,34,1956.84
15,35,752.63
15,36,3033.83
15,37,0
15,38,568.2
15,39,980.64
15,40,731.04
15,41,1841.35
15,42,2885.13
15,43,3179.96
15,44,1268.46
15,45,642.97
15,46,2832.96
15,47,2835.65
15,48,2155.44
15,49,2078.81
15,50,2447.37
16,1,1396.95
16,2,930.3
16,3,1151.21
16,4,1448.44
16,5,94.86
16,6,101.97
16,7,1320.11
16,8,1593.92
16,9,1736.06
16,10,926.29
16,11,1941.91
16,12,1722.39
16,13,1547.73
16,14,824.42
16,15,2012.9
16,16,0
16,17,0
16,18,391.99
16,19,947.16
16,20,929.59
16,21,1699.88
16,22,1591.46
16,23,1353.91
16,24,1314.38
16,25,1453.37
16,26,1463.46
16,27,895.01
16,28,928.56
16,29,1375.74
16,30,440.18
16,31,1176.62
16,32,813.34
16,33,1447.8
16,34,118.36
16,35,1268.43
16,36,1055.58
16,37,2012.9
16,38,1779.17
16,39,1450.76
16,40,1325.83
16,41,239.33
16,42,1768.12
16,43,1203.36
16,44,1089.95
16,45,1769.35
16,46,1433.16
16,47,1615.45
16,48,151.54
16,49,63.82
16,50,1323.77
17,1,1396.95
17,2,930.3
17,3,1151.21
17,4,1448.44
17,5,94.86
17,6,101.97
17,7,1320.11
17,8,1593.92
17,9,1736.06
17,10,926.29
17,11,1941.91
17,12,1722.39
17,13,1547.73
17,14,824.42
17,15,2012.9
17,16,0
17,17,0
17,18,391.99
17,19,947.16
17,20,929.59
17,21,1699.88
17,22,1591.46
17,23,1353.91
17,24,1314.38
17,25,1453.37
17,26,1463.46
17,27,895.01
17,28,928.56
17,29,1375.74
17,30,440.18
17,31,1176.62
17,32,813.34
17,33,1447.8
17,34,118.36
17,35,1268.43
17,36,1055.58
17,37,2012.9
17,38,1779.17
17,39,1450.76
17,40,1325.83
17,41,239.33
17,42,1768.12
17,43,1203.36
17,44,1089.95
17,45,1769.35
17,46,1433.16
17,47,1615.45
17,48,151.54
17,49,63.82
17,50,1323.77
18,1,1724.27
18,2,1319.3
18,3,1499.42
18,4,1063.43
18,5,321.02
18,6,311.32
18,7,1588.24
18,8,1252.49
18,9,1344.92
18,10,1117.11
18,11,2223.91
18,12,1342.11
18,13,1826.64
18,14,545.78
18,15,1671.31
18,16,391.99
18,17,391.99
18,18,0
18,19,1188.53
18,20,1121.93
18,21,1984.56
18,22,1196.96
18,23,1694.4
18,24,1581.94
18,25,1068.56
18,26,1080.4
18,27,1130.09
18,28,1317.55
18,29,1667.85
18,30,106
18,31,1456.96
18,32,540.58
18,33,1062.72
18,34,310.51
18,35,924.51
18,36,1442.72
18,37,1671.31
18,38,1395.18
18,39,1065.86
18,40,969.96
18,41,338.63
18,42,2048.42
18,43,1583.93
18,44,706.05
18,45,1377.13
18,46,1753.72
18,47,1903.5
18,48,502.56
18,49,423.58
18,50,1590.82
19,1,695.35
19,2,946.49
19,3,605.84
19,4,2094.77
19,5,988.97
19,6,993.79
19,7,455.37
19,8,1792.62
19,9,2209.24
19,10,520.25
19,11,1063.94
19,12,2024.7
19,13,713.26
19,14,1085.37
19,15,2193.44
19,16,947.16
19,17,947.16
19,18,1188.53
19,19,0
19,20,518.31
19,21,881.56
19,22,2196.94
19,23,655.78
19,24,448.94
19,25,2097.33
19,26,2105.9
19,27,121.59
19,28,947.13
19,29,621.95
19,30,1114.49
19,31,374.6
19,32,1072.2
19,33,2095.67
19,34,1009.31
19,35,1504.3
19,36,1090.52
19,37,2193.44
19,38,2143.28
19,39,2095.5
19,40,1539.71
19,41,851.72
19,42,907.35
19,43,1254.6
19,44,1748.02
19,45,2226.4
19,46,708.03
19,47,795.98
19,48,999.05
19,49,965.98
19,50,457.55
20,1,1162.83
20,2,1396.22
20,3,1069.22
20,4,1873.66
20,5,956.27
20,6,955.89
20,7,778.68
20,8,1423.13
20,9,1938.53
20,10,6.31
20,11,1394.65
20,12,1755.62
20,13,1091.4
20,14,871.54
20,15,1672.53
20,16,929.59
20,17,929.59
20,18,1121.93
20,19,518.31
20,20,0
20,21,1220.72
20,22,1937.29
20,23,1111.67
20,24,772.11
20,25,1874.69
20,26,1884.13
20,27,387.02
20,28,1396.35
20,29,1103.06
20,30,1011.17
20,31,846.77
20,32,858.95
20,33,1875.48
20,34,966.87
20,35,1233.91
20,36,1549.81
20,37,1672.53
20,38,1872.42
20,39,1873.4
20,40,1286.02
20,41,796.33
20,42,1223.33
20,43,1708.02
20,44,1633.45
20,45,1964.65
20,46,1160.88
20,47,1165.5
20,48,1061.51
20,49,981.46
20,50,777.77
21,1,329.73
21,2,1123.49
21,3,567.45
21,4,2919.16
21,5,1753.56
21,6,1760.31
21,7,465.3
21,8,2631.43
21,9,3041.03
21,10,1224.63
21,11,264.51
21,12,2855.78
21,13,229.33
21,14,1943.28
21,15,2888.92
21,16,1699.88
21,17,1699.88
21,18,1984.56
21,19,881.56
21,20,1220.72
21,21,0
21,22,3028.07
21,23,350.85
21,24,473.05
21,25,2921.47
21,26,2946.7
21,27,972.17
21,28,1125.84
21,29,326.19
21,30,1917.91
21,31,564.37
21,32,1930.17
21,33,2920.14
21,34,1775.43
21,35,2340.03
21,36,1305.58
21,37,2888.92
21,38,2972.12
21,39,2919.76
21,40,2383.3
21,41,1647.8
21,42,84.24
21,43,1438.17
21,44,2575.91
21,45,3063.17
21,46,263.49
21,47,101.77
21,48,1722.06
21,49,1712.23
21,50,465.19
22,1,2805.82
22,2,2524.34
22,3,2647.69
22,4,205.59
22,5,1519.39
22,6,1509.04
22,7,2606.81
22,8,702.87
22,9,159.43
22,10,1932.05
22,11,3200.28
22,12,331.88
22,13,2874.38
22,14,1115.93
22,15,792.95
22,16,1591.46
22,17,1591.46
22,18,1196.96
22,19,2196.94
22,20,1937.29
22,21,3028.07
22,22,0
22,23,2770.46
22,24,2599.48
22,25,198.04
22,26,189.81
22,27,2064.6
22,28,2522.68
22,29,2749.81
22,30,1199.32
22,31,2516.85
22,32,1132.32
22,33,209.68
22,34,1499.51
22,35,705.13
22,36,2637.01
22,37,792.95
22,38,247.64
22,39,200.84
22,40,751.53
22,41,1423.37
22,42,3048.1
22,43,2782.14
22,44,561.23
22,45,225.5
22,46,2822.01
22,47,2943.54
22,48,1700.16
22,49,1624.38
22,50,2607.35
23,1,85.94
23,2,806.58
23,3,206.96
23,4,2647.49
23,5,1406.22
23,6,1413.21
23,7,339.75
23,8,2403.75
23,9,2792.48
23,10,1115.16
23,11,586.04
23,12,2627.98
23,13,282.9
23,14,1663.11
23,15,2781.05
23,16,1353.91
23,17,1353.91
23,18,1694.4
23,19,655.78
23,20,1111.67
23,21,350.85
23,22,2770.46
23,23,0
23,24,318.91
23,25,2650.31
23,26,2656.72
23,27,733.98
23,28,808.64
23,29,23.57
23,30,1636.06
23,31,233.29
23,32,1649.8
23,33,2648.2
23,34,1428.13
23,35,2108.27
23,36,990.4
23,37,2781.05
23,38,2742.06
23,39,2648.4
23,40,2149.87
23,41,1363.32
23,42,427.36
23,43,1127.21
23,44,2289.71
23,45,2827.53
23,46,90.67
23,47,247.71
23,48,1374.71
23,49,1369.49
23,50,345.97
24,1,403.34
24,2,1042.45
24,3,414.79
24,4,2517.09
24,5,1372.51
24,6,1378.09
24,7,7.51
24,8,2207.39
24,9,2610.75
24,10,775.69
24,11,660.64
24,12,2424.51
24,13,290.08
24,14,1514.17
24,15,2441.9
24,16,1314.38
24,17,1314.38
24,18,1581.94
24,19,448.94
24,20,772.11
24,21,473.05
24,22,2599.48
24,23,318.91
24,24,0
24,25,2519.25
24,26,2525.91
24,27,537.79
24,28,1044.25
24,29,337.73
24,30,1514.89
24,31,214.57
24,32,1501.23
24,33,2518.17
24,34,1393.05
24,35,1907.73
24,36,1229.04
24,37,2441.9
24,38,2539.21
24,39,2517.58
24,40,1949
24,41,1245.73
24,42,461.12
24,43,1357.08
24,44,2173.59
24,45,2628.57
24,46,374.93
24,47,416.62
24,48,1350.66
24,49,1329.02
24,50,9.54
25,1,2680.09
25,2,2375.12
25,3,2529.23
25,4,8.52
25,5,1377.32
25,6,1367.36
25,7,2526.3
25,8,821.33
25,9,350.64
25,10,1869.54
25,11,3115.49
25,12,453.16
25,13,2783.55
25,14,1003.77
25,15,978.25
25,16,1453.37
25,17,1453.37
25,18,1068.56
25,19,2097.33
25,20,1874.69
25,21,2921.47
25,22,198.04
25,23,2650.31
25,24,2519.25
25,25,0
25,26,15.37
25,27,1989.8
25,28,2373.36
25,29,2621.59
25,30,1095.54
25,31,2406.55
25,32,1017.62
25,33,14.46
25,34,1356.79
25,35,666.69
25,36,2496.32
25,37,978.25
25,38,413.73
25,39,3
25,40,706.67
25,41,1305.95
25,42,2977.77
25,43,2634.96
25,44,370.11
25,45,378.23
25,46,2699.51
25,47,2845.6
25,48,1538.99
25,49,1478.96
25,50,2527.3
26,1,2695.35
26,2,2381.77
26,3,2536.42
26,4,19.65
26,5,1387.64
26,6,1377.72
26,7,2532.93
26,8,835.44
26,9,339.45
26,10,1878.99
26,11,3130.59
26,12,479.24
26,13,2798.97
26,14,1013.2
